dataset,example_id,method,rr,hit10,ndcg10,mean_top10_popularity_pct,target_artist_in_profile
mpd,mpd::35,openai_minimal,0.25,1.0,0.43067655807339306,0.012130569033965593,0.0
mpd,mpd::35,openai_profile,0.1111111111111111,1.0,0.3010299956639812,0.019473606822526097,0.0
mpd,mpd::35,claude_minimal,0.16666666666666666,1.0,0.3562071871080222,0.011080723423026026,0.0
mpd,mpd::35,claude_profile,0.1111111111111111,1.0,0.3010299956639812,0.015918247316571092,0.0
mpd,mpd::36,popularity,0.09090909090909091,0.0,0.0,0.00013233348037053376,0.0
mpd,mpd::36,cooccurrence,0.05,0.0,0.0,0.1792501102779003,0.0
mpd,mpd::36,openai_minimal,0.1,1.0,0.2890648263178879,0.1915277165122776,0.0
mpd,mpd::36,openai_profile,0.5,1.0,0.6309297535714575,0.1915277165122776,0.0
mpd,mpd::36,claude_minimal,0.1111111111111111,1.0,0.3010299956639812,0.1915277165122776,0.0
mpd,mpd::36,claude_profile,1.0,1.0,1.0,0.1915277165122776,0.0
mpd,mpd::37,popularity,0.05,0.0,0.0,0.00027348919276576973,0.0
mpd,mpd::37,cooccurrence,0.05,0.0,0.0,0.02178503161299809,0.0
mpd,mpd::37,openai_minimal,0.058823529411764705,0.0,0.0,0.012486399058961917,0.0
mpd,mpd::37,openai_profile,0.05,0.0,0.0,0.02178503161299809,0.0
mpd,mpd::37,claude_minimal,0.058823529411764705,0.0,0.0,0.012486399058961917,0.0
mpd,mpd::37,claude_profile,0.05,0.0,0.0,0.02178503161299809,0.0
mpd,mpd::38,popularity,0.07692307692307693,0.0,0.0,0.0002529039847081312,0.0
mpd,mpd::38,cooccurrence,0.05,0.0,0.0,0.0060902808410527864,0.0
mpd,mpd::38,openai_minimal,0.058823529411764705,0.0,0.0,0.005349213350977797,0.0
mpd,mpd::38,openai_profile,0.07692307692307693,0.0,0.0,0.0060902808410527864,0.0
mpd,mpd::38,claude_minimal,0.1,1.0,0.2890648263178879,0.005131598294368475,0.0
mpd,mpd::38,claude_profile,0.1111111111111111,1.0,0.3010299956639812,0.005131598294368475,0.0
mpd,mpd::39,popularity,0.05,0.0,0.0,0.0006322599617703279,0.0
mpd,mpd::39,cooccurrence,0.05,0.0,0.0,0.028895750624908102,0.0
mpd,mpd::39,openai_minimal,0.1,1.0,0.2890648263178879,0.03986766651962946,0.0
mpd,mpd::39,openai_profile,0.09090909090909091,0.0,0.0,0.028895750624908102,0.0
